Dist Code,Year,State Code,State Name,Dist Name,Type,Area,Production,Yield
1,2006,14,Chhattisgarh,Durg,RICE,781.7,1177.1,1505.81
1,2006,14,Chhattisgarh,Durg,WHEAT,36.81,26.62,723.16
1,2006,14,Chhattisgarh,Durg,MAZE,5.28,5.03,953.14
1,2007,14,Chhattisgarh,Durg,RICE,799.89,1095.84,1369.98
1,2007,14,Chhattisgarh,Durg,WHEAT,37.32,34.38,921.03
1,2007,14,Chhattisgarh,Durg,MAZE,3.3,3.82,1157.23
1,2007,14,Chhattisgarh,Durg,BARLEY,0.06,0.07,1166.67
1,2008,14,Chhattisgarh,Durg,RICE,803.37,704.09,876.42
1,2008,14,Chhattisgarh,Durg,WHEAT,36.46,31.19,855.47
1,2008,14,Chhattisgarh,Durg,MAZE,3.4,3.35,984.92
1,2008,14,Chhattisgarh,Durg,BARLEY,0.06,0.06,1000.0
1,2009,14,Chhattisgarh,Durg,RICE,789.04,622.05,788.37
1,2009,14,Chhattisgarh,Durg,WHEAT,42.44,38.12,898.09
1,2009,14,Chhattisgarh,Durg,MAZE,3.25,3.4,1045.97
1,2009,14,Chhattisgarh,Durg,BARLEY,0.06,0.01,166.67
1,2010,14,Chhattisgarh,Durg,RICE,777.92,1319.18,1695.77
1,2010,14,Chhattisgarh,Durg,WHEAT,46.12,45.87,994.69
1,2010,14,Chhattisgarh,Durg,MAZE,3.17,4.63,1457.32
1,2010,14,Chhattisgarh,Durg,BARLEY,0.09,0.07,777.78
1,2011,14,Chhattisgarh,Durg,RICE,806.55,1416.48,1756.23
1,2011,14,Chhattisgarh,Durg,WHEAT,44.98,50.19,1115.68
1,2011,14,Chhattisgarh,Durg,MAZE,3.63,4.67,1285.56
1,2011,14,Chhattisgarh,Durg,BARLEY,0.15,0.17,1133.33
1,2012,14,Chhattisgarh,Durg,RICE,807.07,1534.22,1900.97
1,2012,14,Chhattisgarh,Durg,WHEAT,43.87,47.69,1087.1
1,2012,14,Chhattisgarh,Durg,MAZE,3.12,4.8,1538.56
1,2012,14,Chhattisgarh,Durg,BARLEY,0.19,0.11,578.95
1,2013,14,Chhattisgarh,Durg,RICE,819.44,1296.24,1581.86
1,2013,14,Chhattisgarh,Durg,WHEAT,41.54,43.33,1043.06
1,2013,14,Chhattisgarh,Durg,MAZE,3.64,6.34,1742.2
1,2013,14,Chhattisgarh,Durg,BARLEY,0.22,0.12,545.45
1,2014,14,Chhattisgarh,Durg,RICE,834.87,1444.24,1729.89
1,2014,14,Chhattisgarh,Durg,WHEAT,44.25,50.96,1151.49
1,2014,14,Chhattisgarh,Durg,MAZE,4.02,5.84,1451.66
1,2014,14,Chhattisgarh,Durg,BARLEY,0.14,0.11,785.71
1,2015,14,Chhattisgarh,Durg,RICE,817.68,880.6,1076.95
1,2015,14,Chhattisgarh,Durg,WHEAT,48.72,54.6,1120.74
1,2015,14,Chhattisgarh,Durg,MAZE,9.87,14.47,1467.17
1,2015,14,Chhattisgarh,Durg,BARLEY,0.04,0.03,750.0
1,2016,14,Chhattisgarh,Durg,RICE,858.91,1791.66,2085.96
1,2016,14,Chhattisgarh,Durg,WHEAT,48.94,61.84,1263.55
1,2016,14,Chhattisgarh,Durg,MAZE,7.95,16.12,2028.48
1,2016,14,Chhattisgarh,Durg,BARLEY,0.01,0.01,1333.33
1,2017,14,Chhattisgarh,Durg,RICE,841.13,983.21,1168.92
1,2017,14,Chhattisgarh,Durg,WHEAT,43.5,50.19,1153.77
1,2017,14,Chhattisgarh,Durg,MAZE,9.25,18.09,1956.03
2,2006,14,Chhattisgarh,Bastar,RICE,546.54,836.54,1530.61
2,2006,14,Chhattisgarh,Bastar,WHEAT,1.92,3.2,1666.67
2,2006,14,Chhattisgarh,Bastar,MAZE,31.15,41.19,1322.31
2,2007,14,Chhattisgarh,Bastar,RICE,626.07,927.73,1481.83
2,2007,14,Chhattisgarh,Bastar,WHEAT,1.68,3.31,1970.24
2,2007,14,Chhattisgarh,Bastar,MAZE,32.66,59.39,1818.43
2,2008,14,Chhattisgarh,Bastar,RICE,627.78,729.33,1161.76
2,2008,14,Chhattisgarh,Bastar,WHEAT,1.71,2.6,1520.47
2,2008,14,Chhattisgarh,Bastar,MAZE,33.41,53.87,1612.39
2,2009,14,Chhattisgarh,Bastar,RICE,626.66,682.46,1089.04
2,2009,14,Chhattisgarh,Bastar,WHEAT,1.64,2.95,1798.78
2,2009,14,Chhattisgarh,Bastar,MAZE,34.77,61.36,1764.74
2,2010,14,Chhattisgarh,Bastar,RICE,621.89,1184.98,1905.45
2,2010,14,Chhattisgarh,Bastar,WHEAT,1.6,3.2,2000.0
2,2010,14,Chhattisgarh,Bastar,MAZE,35.7,72.3,2025.21
2,2011,14,Chhattisgarh,Bastar,RICE,627.73,772.88,1231.23
2,2011,14,Chhattisgarh,Bastar,WHEAT,1.33,2.49,1872.18
2,2011,14,Chhattisgarh,Bastar,MAZE,40.16,82.85,2063.0
2,2012,14,Chhattisgarh,Bastar,RICE,637.8,1341.33,2103.06
2,2012,14,Chhattisgarh,Bastar,WHEAT,1.25,2.47,1976.0
2,2012,14,Chhattisgarh,Bastar,MAZE,41.04,84.27,2053.36
2,2013,14,Chhattisgarh,Bastar,RICE,642.79,1265.91,1969.4
2,2013,14,Chhattisgarh,Bastar,WHEAT,0.97,1.75,1804.12
2,2013,14,Chhattisgarh,Bastar,MAZE,42.38,99.48,2347.33
2,2014,14,Chhattisgarh,Bastar,RICE,646.7,1377.04,2129.33
2,2014,14,Chhattisgarh,Bastar,WHEAT,0.81,1.86,2296.3
2,2014,14,Chhattisgarh,Bastar,MAZE,43.1,86.93,2016.94
2,2015,14,Chhattisgarh,Bastar,RICE,644.56,664.46,1030.87
2,2015,14,Chhattisgarh,Bastar,WHEAT,0.84,1.75,2083.33
2,2015,14,Chhattisgarh,Bastar,MAZE,41.36,88.98,2151.35
2,2016,14,Chhattisgarh,Bastar,RICE,656.26,1294.97,1973.24
2,2016,14,Chhattisgarh,Bastar,WHEAT,0.67,1.53,2265.58
2,2016,14,Chhattisgarh,Bastar,MAZE,41.5,123.66,2979.5
2,2017,14,Chhattisgarh,Bastar,RICE,660.36,801.82,1214.23
2,2017,14,Chhattisgarh,Bastar,WHEAT,1.24,2.22,1783.13
2,2017,14,Chhattisgarh,Bastar,MAZE,41.94,120.22,2866.36
3,2006,14,Chhattisgarh,Raipur,RICE,918.39,1324.71,1442.43
3,2006,14,Chhattisgarh,Raipur,WHEAT,13.09,12.16,928.95
3,2006,14,Chhattisgarh,Raipur,MAZE,2.61,2.35,900.38
3,2007,14,Chhattisgarh,Raipur,RICE,956.63,1483.28,1550.53
3,2007,14,Chhattisgarh,Raipur,WHEAT,11.42,13.08,1145.36
3,2007,14,Chhattisgarh,Raipur,MAZE,2.53,2.89,1142.29
3,2008,14,Chhattisgarh,Raipur,RICE,942.24,1252.38,1329.15
3,2008,14,Chhattisgarh,Raipur,WHEAT,10.82,11.04,1020.33
3,2008,14,Chhattisgarh,Raipur,MAZE,1.29,1.39,1077.52
3,2009,14,Chhattisgarh,Raipur,RICE,928.66,1307.24,1407.66
3,2009,14,Chhattisgarh,Raipur,WHEAT,12.67,18.01,1421.47
3,2009,14,Chhattisgarh,Raipur,MAZE,1.34,2.13,1589.55
3,2010,14,Chhattisgarh,Raipur,RICE,915.4,1521.13,1661.71
3,2010,14,Chhattisgarh,Raipur,WHEAT,11.3,15.2,1345.13
3,2010,14,Chhattisgarh,Raipur,MAZE,1.3,1.8,1384.62
3,2011,14,Chhattisgarh,Raipur,RICE,958.01,1421.37,1483.67
3,2011,14,Chhattisgarh,Raipur,WHEAT,10.54,17.89,1697.34
3,2011,14,Chhattisgarh,Raipur,MAZE,2.12,3.6,1698.11
3,2012,14,Chhattisgarh,Raipur,RICE,993.68,1974.69,1987.25
3,2012,14,Chhattisgarh,Raipur,WHEAT,9.76,17.75,1818.65
3,2012,14,Chhattisgarh,Raipur,MAZE,10.21,17.05,1669.93
3,2013,14,Chhattisgarh,Raipur,RICE,1009.22,1749.21,1733.23
3,2013,14,Chhattisgarh,Raipur,WHEAT,9.21,15.86,1722.04
3,2013,14,Chhattisgarh,Raipur,MAZE,13.01,22.77,1750.19
3,2014,14,Chhattisgarh,Raipur,RICE,1034.99,2127.73,2055.8
3,2014,14,Chhattisgarh,Raipur,WHEAT,10.38,21.24,2046.24
3,2014,14,Chhattisgarh,Raipur,MAZE,14.75,29.67,2011.53
3,2015,14,Chhattisgarh,Raipur,RICE,986.91,1412.83,1431.57
3,2015,14,Chhattisgarh,Raipur,WHEAT,10.99,19.3,1756.14
3,2015,14,Chhattisgarh,Raipur,MAZE,11.14,20.1,1804.31
3,2016,14,Chhattisgarh,Raipur,RICE,1009.29,2432.48,2410.09
